SessionKey,SessionType,Status,SegmentNumber,SegmentsCombined,SourceStart_s,SourceEnd_s,Duration_s,OutputFile,MissingChannels,EstimatedChannels,SourceFiles
autox42,autocross_run,skipped_missing_temperature,0,0,NaN,NaN,NaN,,tempFLRaw; tempFRRaw; tempRLRaw; tempRRRaw; torqueFL; rpmFL; torqueFR; rpmFR; torqueRL; rpmRL; torqueRR; rpmRR; speed,,AutoX 4-2.txt
autox43,autocross_run,skipped_missing_temperature,0,0,NaN,NaN,NaN,,tempFLRaw; tempFRRaw; tempRLRaw; tempRRRaw; torqueFL; rpmFL; torqueFR; rpmFR; torqueRL; rpmRL; torqueRR; rpmRR; speed,,AutoX 4-3.txt
autox527,autocross_run,exported_raw_format,1,1,22247.598,26389.598,4142,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_rawCombined_8-2\autox527_rawformat.txt,,,AutoX 5-27.txt
brakebedding327,braking_event,skipped_missing_temperature,0,0,NaN,NaN,NaN,,tempFLRaw; tempFRRaw; tempRLRaw; tempRRRaw; torqueFL; rpmFL; torqueFR; rpmFR; torqueRL; rpmRL; torqueRR; rpmRR; speed,,Brake Bedding 3-27.txt
brakestesting611,braking_event,exported_raw_format,1,1,0,6480.9,6480.9,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_rawCombined_8-2\brakestesting611_rawformat.txt,,,BrakesTesting 6-11.txt
endurance417,endurance_stint,exported_raw_format,1,1,0,5280.9,5280.9,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_rawCombined_8-2\endurance417_rawformat.txt,,,Endurance 4-17.txt
endurance519,endurance_stint,exported_raw_format,1,1,0,12186.9,12186.9,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_rawCombined_8-2\endurance519_rawformat.txt,,,Endurance 5-19.txt
endurance529,endurance_stint,exported_raw_format,1,1,0,3916.9,3916.9,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_rawCombined_8-2\endurance529_rawformat.txt,,,Endurance 5-29.txt
endurance65,endurance_stint,exported_raw_format,1,1,5185.793,7030.293,1844.5,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_rawCombined_8-2\endurance65_rawformat.txt,,,Endurance 6-5.txt
endurance612,endurance_stint,exported_raw_format,1,1,0,1890.9,1890.9,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_rawCombined_8-2\endurance612_rawformat.txt,,,Endurance 6-12.txt
endurosetuptesting515,moving_event,exported_raw_format,1,1,0,5523.9,5523.9,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_rawCombined_8-2\endurosetuptesting515_rawformat.txt,,,Enduro Setup Testing 5-15.txt
firstendurancenoaeronoregen417,endurance_stint,exported_raw_format,1,1,3572.573,5043.073,1470.5,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_rawCombined_8-2\firstendurancenoaeronoregen417_rawformat.txt,,,First Endurance No Aero No Regen 4-17.txt
